data,cd,grupo,indicador,valor
02/06/2025,SBC,6. Abastecimento,Abastecimento Projetado DUN,
02/06/2025,SBC,6. Abastecimento,% Atingimento,
02/06/2025,SBC,10. Coletas em Pulmão,Coletas Totais,
02/06/2025,SBC,10. Coletas em Pulmão,Coletas em Pulmão,
02/06/2025,SBC,10. Coletas em Pulmão,% Coletas em Pulmão,
02/06/2025,SBC,11. Rupturas,Total de Rupturas,
02/06/2025,SBC,11. Rupturas,# Mezanino,
02/06/2025,SBC,11. Rupturas,% Mezanino,
02/06/2025,SBC,11. Rupturas,# DUN,
02/06/2025,SBC,11. Rupturas,% DUN,
02/06/2025,SBC,11. Rupturas,# Painel,
02/06/2025,SBC,11. Rupturas,% Painel de Integração,
02/06/2025,SBC,12. Ocorrências no Cliente,Total de Ocorrências,
02/06/2025,SBC,12. Ocorrências no Cliente,Falta de Item,
02/06/2025,SBC,12. Ocorrências no Cliente,Troca de Item,
02/06/2025,SBC,12. Ocorrências no Cliente,Avaria de Item,
02/06/2025,SBC,12. Ocorrências no Cliente,Sobra de Item,
02/06/2025,SBC,12. Ocorrências no Cliente,Ocorrência Média últimos 30 dias,
02/06/2025,SBC,13. Custos de Avarias e Perdas,Perdas Totais,
02/06/2025,SBC,13. Custos de Avarias e Perdas,R$ Avaria Interna,
02/06/2025,SBC,13. Custos de Avarias e Perdas,R$ Extravios,
02/06/2025,RS,1. Performance de Embarque,% Performance de embarque (Data planejada),
02/06/2025,RS,2. Pedidos para separar hoje (visão das 09h),2.1 Demanda Total Pedidos (Programados para o dia + passivo),
02/06/2025,RS,2. Pedidos para separar hoje (visão das 09h),2.2 Pedidos Pendentes de consolidação  (Do dia + passivo),
02/06/2025,RS,2. Pedidos para separar hoje (visão das 09h),2.2.1 Pedidos da data (com bancos),
02/06/2025,RS,2. Pedidos para separar hoje (visão das 09h),2.2.2 Pedidos do Passivo,
02/06/2025,RS,2. Pedidos para separar hoje (visão das 09h),2.3 Pedidos fora de carga (Ainda não estão na etapa do DUN),
02/06/2025,RS,2. Pedidos para separar hoje (visão das 09h),2.4 Pedidos sem Nota Fiscal (ainda nas primeiras etapas do processo),
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos do dia,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Atrasos Transportadoras - Pronto para embarque,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Atrasos Operações Próprias - Pronto para embarque,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Atraso Intra - Pendente de consolidação,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Atraso Intra - Pronto Após o horário de corte - Pronto para embarque,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Operação Especial Sodexo,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Atraso Transferências,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Total Atrasos,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 1 dia,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 2 dias,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 3 dias,
02/06/2025,RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 4 dias,
