cd,grupo,indicador,meta,direcao,ativo,observacao
SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),Capacidade Total CD (DUN + FRAC + Bancos),,Menor ou igual é melhor,Sim,
SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),Total Linhas Separadas (DUN + FRAC + Bancos),,Menor ou igual é melhor,Sim,
SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),% Atingimento Separação x Capacidade,,Maior ou igual é melhor,Sim,
SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),>Capacidade FRAC,,Menor ou igual é melhor,Sim,
SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado FRAC,,Menor ou igual é melhor,Sim,
SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),>Capacidade DUN,,Menor ou igual é melhor,Sim,
SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado DUN,,Menor ou igual é melhor,Sim,
SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),>Capacidade Bancos,,Menor ou igual é melhor,Sim,
SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),Separado Bancos,,Menor ou igual é melhor,Sim,
SBC,7.Linhas Faturadas/Separadas (Com quebra na Prod),Backlog 18hrs do D-1,,Menor ou igual é melhor,Sim,
SBC,8. Pedidos Consolidados,Pedidos Consolidados (sem bancos),,Menor ou igual é melhor,Sim,
SBC,8. Pedidos Consolidados,Pedidos Consolidados (Só bancos),,Menor ou igual é melhor,Sim,
SBC,8. Pedidos Consolidados,Total Consolidação,,Menor ou igual é melhor,Sim,
SBC,8. Pedidos Consolidados,Meta de Consolidação,,Menor ou igual é melhor,Sim,
SBC,8. Pedidos Consolidados,Pedidos Planejados,,Menor ou igual é melhor,Sim,
SBC,8. Pedidos Consolidados,% Atingimento,,Maior ou igual é melhor,Sim,
SBC,9. Faturamento,Faturamento Realizado,,Menor ou igual é melhor,Sim,
SBC,9. Faturamento,Faturamento Necessario,,Menor ou igual é melhor,Sim,
SBC,9. Faturamento,% Atingimento,,Maior ou igual é melhor,Sim,
SBC,6. Abastecimento,Abastecimento Realizado DUN,,Menor ou igual é melhor,Sim,
SBC,6. Abastecimento,Abastecimento Projetado DUN,,Menor ou igual é melhor,Sim,
SBC,6. Abastecimento,% Atingimento,,Maior ou igual é melhor,Sim,
SBC,10. Coletas em Pulmão,Coletas Totais,,Menor ou igual é melhor,Sim,
SBC,10. Coletas em Pulmão,Coletas em Pulmão,,Menor ou igual é melhor,Sim,
SBC,10. Coletas em Pulmão,% Coletas em Pulmão,,Maior ou igual é melhor,Sim,
SBC,11. Rupturas,Total de Rupturas,,Menor ou igual é melhor,Sim,
SBC,11. Rupturas,# Mezanino,,Menor ou igual é melhor,Sim,
SBC,11. Rupturas,% Mezanino,,Maior ou igual é melhor,Sim,
SBC,11. Rupturas,# DUN,,Menor ou igual é melhor,Sim,
SBC,11. Rupturas,% DUN,,Maior ou igual é melhor,Sim,
SBC,11. Rupturas,# Painel,,Menor ou igual é melhor,Sim,
SBC,11. Rupturas,% Painel de Integração,,Maior ou igual é melhor,Sim,
SBC,12. Ocorrências no Cliente,Total de Ocorrências,,Menor ou igual é melhor,Sim,
SBC,12. Ocorrências no Cliente,Falta de Item,,Menor ou igual é melhor,Sim,
SBC,12. Ocorrências no Cliente,Troca de Item,,Menor ou igual é melhor,Sim,
SBC,12. Ocorrências no Cliente,Avaria de Item,,Menor ou igual é melhor,Sim,
SBC,12. Ocorrências no Cliente,Sobra de Item,,Menor ou igual é melhor,Sim,
SBC,12. Ocorrências no Cliente,Ocorrência Média últimos 30 dias,,Menor ou igual é melhor,Sim,
SBC,13. Custos de Avarias e Perdas,Perdas Totais,,Menor ou igual é melhor,Sim,
SBC,13. Custos de Avarias e Perdas,R$ Avaria Interna,,Menor ou igual é melhor,Sim,
SBC,13. Custos de Avarias e Perdas,R$ Extravios,,Menor ou igual é melhor,Sim,
RS,1. Performance de Embarque,% Performance de embarque (Data planejada),,Maior ou igual é melhor,Sim,
RS,1. Performance de Embarque,Meta Embarque no Prazo,,Menor ou igual é melhor,Sim,
RS,2. Pedidos para separar hoje (visão das 09h),2.1 Demanda Total Pedidos (Programados para o dia + passivo),,Menor ou igual é melhor,Sim,
RS,2. Pedidos para separar hoje (visão das 09h),2.2 Pedidos Pendentes de consolidação  (Do dia + passivo),,Menor ou igual é melhor,Sim,
RS,2. Pedidos para separar hoje (visão das 09h),2.2.1 Pedidos da data (com bancos),,Menor ou igual é melhor,Sim,
RS,2. Pedidos para separar hoje (visão das 09h),2.2.2 Pedidos do Passivo,,Menor ou igual é melhor,Sim,
RS,2. Pedidos para separar hoje (visão das 09h),2.3 Pedidos fora de carga (Ainda não estão na etapa do DUN),,Menor ou igual é melhor,Sim,
RS,2. Pedidos para separar hoje (visão das 09h),2.4 Pedidos sem Nota Fiscal (ainda nas primeiras etapas do processo),,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Pedidos do dia,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Atrasos Transportadoras - Pronto para embarque,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Atrasos Operações Próprias - Pronto para embarque,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Atraso Intra - Pendente de consolidação,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Atraso Intra - Pronto Após o horário de corte - Pronto para embarque,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Operação Especial Sodexo,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Atraso Transferências,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Total Atrasos,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 1 dia,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 2 dias,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 3 dias,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 4 dias,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 5 dias,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 6 dias,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 7 dias,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 8 dias,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 9 dias,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 10 dias,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 2 a 5 dias,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 6 a 10 dias,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - 11 a 15 dias,,Menor ou igual é melhor,Sim,
RS,3. Atraso de Embarque - Visão Operações,Pedidos em Atraso - acima de 15 dias,,Menor ou igual é melhor,Sim,
RS,4. Atraso de Embarque Operação + Visão Cliente,Atraso de embarque Operações,,Menor ou igual é melhor,Sim,
RS,4. Atraso de Embarque Operação + Visão Cliente,Atraso Ajuste PCP,,Menor ou igual é melhor,Sim,
RS,4. Atraso de Embarque Operação + Visão Cliente,Operação Especial Sodexo,,Menor ou igual é melhor,Sim,
RS,4. Atraso de Embarque Operação + Visão Cliente,Total Atrasos,,Menor ou igual é melhor,Sim,
RS,4. Atraso de Embarque Operação + Visão Cliente,Pedidos em Atraso - até 1 dia,,Menor ou igual é melhor,Sim,
